Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Fri Apr 01 11:09:01 EDT 2022,Main.java,1648825741229,18803,0,(F)2(I)6(R)4(I)8,0.7,0.0,0.0,10.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.7777777777777778,0.0,[]
,/modelData/A0UserStudy2010.arff,Fri Apr 01 11:09:01 EDT 2022,Main.java, 1648825741229
2,,Fri Apr 01 11:09:20 EDT 2022,Main.java,1648825760104,15665,0,(I)12(D)2(I)8,0.9090909090909091,9.090909090909092,0.0,0.0,0.0,0.0,1.4666666666666666,0.0,0.13333333333333333,0.0,0.0,0.0,1.3333333333333333,0.0,[]
3,,Fri Apr 01 11:09:36 EDT 2022,Main.java,1648825776156,44090,0,(I)7(D)5(F)1(D)1,0.5,42.857142857142854,0.0,7.142857142857142,0.0,0.0,0.3181818181818182,0.0,0.13636363636363635,0.022727272727272728,0.0,0.0,0.1590909090909091,0.0,[]
4,,Fri Apr 01 11:10:20 EDT 2022,Main.java,1648825820419,40113,0,(F)2(D)1(F)1(D)7(F)2(D)1,0.0,64.28571428571429,0.0,35.714285714285715,0.0,0.0,0.35,0.0,0.225,0.125,0.0,0.0,0.0,0.0,[]
5,,Fri Apr 01 11:11:00 EDT 2022,Main.java,1648825860532,113272,0,(D)8(F)1(D)1(F)1(D)1(F)2(D)2,0.0,75.0,0.0,25.0,0.0,0.0,0.1415929203539823,0.0,0.10619469026548672,0.035398230088495575,0.0,0.0,0.0,0.0,[]
6,,Fri Apr 01 11:12:54 EDT 2022,SimpleGrader.java,1648825974195,29674,0,(F)2(I)1(D)2(F)1(I)4(R)1(F)1(D)4(I)6,0.5,27.27272727272727,0.0,18.181818181818183,0.0,0.0,0.7586206896551724,0.0,0.20689655172413793,0.13793103448275862,0.0,0.034482758620689655,0.3793103448275862,0.0,[]
7,,Fri Apr 01 11:13:24 EDT 2022,SimpleGrader.java,1648826004010,12329,0,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,[]
8,,Fri Apr 01 11:13:36 EDT 2022,SimpleGrader.java,1648826016478,13068,0,(I)24(R)1,0.96,0.0,0.0,0.0,0.0,0.0,1.9230769230769231,0.0,0.0,0.0,0.0,0.07692307692307693,1.8461538461538463,0.0,[]
9,,Fri Apr 01 11:13:49 EDT 2022,SimpleGrader.java,1648826029548,19577,0,(R)5(I)11(F)1(I)2(R)1(F)1(I)1(R)3,0.56,0.0,0.0,8.0,0.0,0.0,1.3157894736842106,0.0,0.0,0.10526315789473684,0.0,0.47368421052631576,0.7368421052631579,0.0,[]
10,,Fri Apr 01 11:14:09 EDT 2022,SimpleGrader.java,1648826049270,7357,7357,(R)2(I)21(I R)1,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,0.0,0.0,0.0,0.42857142857142855,3.142857142857143,0.0,[]
11,,Fri Apr 01 11:14:16 EDT 2022,SimpleGrader.java,1648826056716,8967,8967,(I)18,1.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,2.25,0.0,[]
12,,Fri Apr 01 11:14:25 EDT 2022,SimpleGrader.java,1648826065925,7087,7087,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,[]
13,,Fri Apr 01 11:14:34 EDT 2022,SimpleGrader.java,1648826074522,8786,8786,(I)6(R)3(I)13,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.375,2.375,0.0,[]
14,,Fri Apr 01 11:14:43 EDT 2022,SimpleGrader.java,1648826083339,-7497,-7497,(I)3(R)3(I)1(I R)3(R)3(I)1(R)1(I)7(R)1,0.6521739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
15,,Fri Apr 01 11:14:36 EDT 2022,SimpleGrader.java,1648826076230,14997,0,(I)5(R)1(I)1(R)1(I)4(R)1(I)1(R)2(I)7,0.782608695652174,0.0,0.0,0.0,0.0,0.0,1.6428571428571428,0.0,0.0,0.0,0.0,0.35714285714285715,1.2857142857142858,0.0,[]
16,,Fri Apr 01 11:14:51 EDT 2022,SimpleGrader.java,1648826091788,4798,4798,(R)1(I)4(R)1(I)10(R)3(I)6,0.8,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,1.25,5.0,0.0,[]
17,,Fri Apr 01 11:14:56 EDT 2022,SimpleGrader.java,1648826096878,22791,0,(I)2(R)1(I)1(R)1(I)16,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.0,0.09090909090909091,0.8636363636363636,0.0,[]
18,,Fri Apr 01 11:15:21 EDT 2022,SimpleGrader.java,1648826121276,26098,0,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,[]
19,,Fri Apr 01 11:15:47 EDT 2022,SimpleGrader.java,1648826147603,3938,3938,(I)1(R)1(I)23,0.96,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,8.0,0.0,[]
20,,Fri Apr 01 11:15:52 EDT 2022,SimpleGrader.java,1648826152215,4567,4567,(I)9(R)1(I)15,0.96,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.25,6.0,0.0,[]
